"Identifier","SourceString","Comment","DE","FR","NL","ES","PL","IT","RU"
"52","Recommendations","190:./lang/de/ocstyle/lib/menu.php","Empfohlene Caches","Recommandations","Aanbevelingen","Recomendaciones","","Recommendations",""
"54","Index","84:./templates2/ocstyle/tops.tpl","Index","Index","Index","Indice","","Index",""
"55","Recommendations","151:./lang/de/ocstyle/lib/menu.php","Empfehlungen","Recommandations","Aanbevelingen","Recomendaciones","Rekomendacje","Recommendations","Золотые ярлыки"
"56","Found","152:./templates2/ocstyle/myhome.tpl","gefunden","trouvé","Gevonden","Encontrado","Znaleziona","Found","Найден"
"57","by","26:./templates2/ocstyle/adminhistory.tpl","von","par","door","por","założona przez","by",""
"59","Romanian","0:table:languages;field=name","Rumänisch","Roumain","Roemeens","Rumano","","Romanian","Румынский"
"60","Step 1","21:./templates2/ocstyle/newemail.tpl","Schritt 1","Step 1","Stap 1","Paso 1","","Step 1","Шаг 1"
"63","Step 2","64:./templates2/ocstyle/newemail.tpl","Schritt 2","Step 2","Stap 2","Paso 2","","Step 2","Шаг 2"
"64","Portuguese","0:table:languages;field=name","Portugiesisch","Portuguese","Portugees","Portugués","","Portuguese","Португальский"
"65","Back","64:./templates2/ocstyle/restorecaches.tpl","Zurück","Back","Terug","Volver","","Back",""
"70","News","9:./templates2/ocstyle/news.tpl","Aktuelles","News","Nieuws","Noticias","Nowości","News","Новости"
"71","Latest caches","","Neueste Caches","Latest caches","Nieuwste caches","Últimos cachés","Najnowsze skrzynki","Latest caches","Новые тайники"
"73","Latest log entries","","Neueste Logeinträge","Latest log entries","Laatste logs","Registros más recientes","Najnowsze logi","Latest log entries","Новые отчёты"
"74","Polish","0:table:languages;field=name","Polnisch","Polish","Pools","Polaco","Polski","Polish","Польский"
"75","Norwegian","0:table:languages;field=name","Norwegisch","Norwegian","Noors","Noruego","","Norwegian","Норвежский"
"76","Latvian","0:table:languages;field=name","Lettisch","Latvian","Lets","Letón","","Latvian","Латвийский"
"77","Lithuanian","0:table:languages;field=name","Litauisch","Lithuanian","Litouws","Lituano","","Lithuanian","Литовский"
"78","Italian","0:table:languages;field=name","Italienisch","Italian","Italiaans","Italiano","","Italian","Итальянский"
"79","Icelandic","0:table:languages;field=name","Isländisch","Icelandic","Ijslands","Islandés","","Icelandic","Исландский"
"80","Home","43:./lang/de/ocstyle/lib/menu.php","Startseite","Home","Startpagina","Inicio","","Home","Начало"
"82","On this page you will find Geocaches from all over the world, with focus on Germany, Austria, Switzerland, Italy and Spain. We also offer information on miscellaneous geocaching topics and a forum (message board).</p><p class=""startmessage"">If you would like to propagate geocaching in your own country, you may run your own Opencaching site in your own language, using our <a href=""https://github.com/OpencachingDeutschland/oc-server3"" target=""_blank"">software</a> and known-how. The long-term plan is to form a global geocaching network out of all Opencaching sites. Please contact us in our <a href=""http://forum.opencaching.de/index.php?board=24.0"" target=""_blank"">international forum</a> for more information.","28:./index.php","Auf dieser Website findest du Geocaches aus der ganzen Welt, mit Schwerpunkt Deutschland, &Ouml;sterreich, Schweiz, Italien und Spanien. Au&szlig;erdem gibt es das <a href=""http://wiki.opencaching.de"">Opencaching-Wiki</a> mit Anleitungen und Informationen rund um Opencaching und Geocaching, und ein <a href=""http://forum.opencaching.de"">Diskussionsforum</a>.","On this page you will find Geocaches from all over the world, with focus on Germany, Austria, Switzerland, Italy and Spain. We also offer information on miscellaneous geocaching topics and a forum (message board).</p><p class=""startmessage"">If you would like to propagate geocaching in your own country, you may run your own Opencaching site in your own language, using our <a href=""https://github.com/OpencachingDeutschland/oc-server3"" target=""_blank"">software</a> and known-how. The long-term plan is to form a global geocaching network out of all Opencaching sites. Please contact us in our <a href=""http://forum.opencaching.de/index.php?board=24.0"" target=""_blank"">international forum</a> for more information.","Op deze website kun je caches vinden over de hele wereld, met focus op Duitsland, Oostenrijk Zwitserland, Italië en Spanje. We bieden ook informatie over diverse geocaching onderwerpen en een forum.</p><p class=""startmessage"">Wanneer je een Opencaching site in jouw land wil beginnen, kan deze vertaald worden via <a href=""https://github.com/OpencachingDeutschland/oc-server3"" target=""_blank"">software</a> Op langere termijn is de bedoeling een groot netwerk te realiseren met alle Opencaching sites. Neem contact op in ons <a href=""http://forum.opencaching.de/index.php?board=24.0"" target=""_blank"">internationaal forum</a>voor meer informatie.","On this page you will find Geocaches from all over the world, with focus on Germany, Austria, Switzerland, Italy and Spain. We also offer information on miscellaneous geocaching topics and a forum (message board).</p><p class=""startmessage"">If you would like to propagate geocaching in your own country, you may run your own Opencaching site in your own language, using our <a href=""https://github.com/OpencachingDeutschland/oc-server3"" target=""_blank"">software</a> and known-how. The long-term plan is to form a global geocaching network out of all Opencaching sites. Please contact us in our <a href=""http://forum.opencaching.de/index.php?board=24.0"" target=""_blank"">international forum</a> for more information.","Na tej stronie znajdziesz wszystko co dotyczy Geocachingu w Niemczech.","On this page you will find Geocaches from all over the world, with focus on Germany, Austria, Switzerland, Italy and Spain. We also offer information on miscellaneous geocaching topics and a forum (message board).</p><p class=""startmessage"">If you would like to propagate geocaching in your own country, you may run your own Opencaching site in your own language, using our <a href=""https://github.com/OpencachingDeutschland/oc-server3"" target=""_blank"">software</a> and known-how. The long-term plan is to form a global geocaching network out of all Opencaching sites. Please contact us in our <a href=""http://forum.opencaching.de/index.php?board=24.0"" target=""_blank"">international forum</a> for more information.","Всё, что нужно для геокешинга…"
"83","The file was not uploaded correctly.","89:./templates2/ocstyle/picture.tpl","Bei der Dateiübertragung ist ein Fehler aufgetreten.","The file was not uploaded correctly.","Bij de dataoverdracht is een fout opgetreden.","El archivo no se ha subido correctamente.","","The file was not uploaded correctly.",""
"84","The file was too big. The maximum file size is %1 KB.","22:./templates2/ocstyle/picture.tpl","Die Datei war zu groß. Es sind maximal %1 KB erlaubt.","The file was too big. The maximum file size is %1 KB.","Het bestand is te groot. De maximale grootte is %1 KB.","El archivo era demasiado grande. Se permite un máximo de %1 KB.","","The file was too big. The maximum file size is %1 KB.",""
"85","No picture file given.","85:./templates2/ocstyle/picture.tpl","Kein Bild angegeben.","No picture file given.","Geen afbeelding opgegeven.","No hay imagen de archivo determinado.","","No picture file given.",""
"86","same type","527:./templates2/ocstyle/viewcache.tpl","gleiche Cacheart","same type","zelfde cache soort","mismo tipo","","same type","того же типа"
"90","%1 active caches and %2 founds by %3 users total","147:./templates2/ocstyle/start.tpl","Insgesamt %1 aktive Caches und %2 Funde von %3 Benutzern","%1 active caches and %2 founds by %3 users total","%1 actieve Caches en %2 keer gevonden door %3 gebruikers in totaal","%1 active caches and %2 founds by %3 users total","Liczba aktywnych skrzynek: %1 | Liczba odkryć skrzynek: %2 | Liczba aktywnych użytkowników: %3","%1 active caches and %2 founds by %3 users total",""
"91","Hungarian","0:table:languages;field=name","Ungarisch","Hungarian","Hongaars","Húngaro","","Hungarian",""
"92","Croatian","0:table:languages;field=name","Kroatisch","Croatian","Kroatisch","Croata","","Croatian","Хорватский"
"93","Finnish","0:table:languages;field=name","Finnisch","Finnish","Fins","Finlandés","","Finnish","Финский"
"94","Yes","25:./lang/de/expressions.inc.php","Ja","Oui","Ja","Sí","Tak","Yes","Да"
"95","No","26:./lang/de/expressions.inc.php","Nein","Non","Nee","No","Nie","No","Нет"
"96","Hello","6:./templates2/mail/sys_main.tpl","Hallo","Salut","Hallo","Hola","Witaj","Hello",""
"99","This e-mail was generated by the %2 website, because an account with your e-mail address has been created. If you don't want to receive further e-mails, please contact us via %1.","13:./templates2/mail/sys_main.tpl","Diese E-Mail wurde von der %2-Webseite generiert, weil ein Benutzeraccount mit dieser E-Mail-Adresse angemeldet wurde. Falls du in Zukunft keine E-Mails mehr von %1 erhalten möchtest oder der falsche Empfänger bist, schreib uns bitte eine E-Mail an %1.","This e-mail was generated by the %2 website, because an account with your e-mail address has been created. If you don't want to receive further e-mails, please contact us via %1.","Deze e-mail werd gegenereerd door de %2 website, omdat een gebruikersaccount met dit e-mail adres aangemaakt is. Indien er geen e-mails meer ontvangen mogen worden, neem dan contact op met %1.","This e-mail was generated by the %2 website, because an account with your e-mail address has been created. If you don't want to receive further e-mails, please contact us via %1.","","This e-mail was generated by the %2 website, because an account with your e-mail address has been created. If you don't want to receive further e-mails, please contact us via %1.",""
"100","Basque","0:table:languages;field=name","Baskisch","Basque","Baskisch","Euskera","","Basque",""
"101","Estonian","0:table:languages;field=name","Estnisch","Estonian","Estlands","Estonio","","Estonian","Эстонский"
"102","Esperanto","0:table:languages;field=name","Esperanto","Esperanto","Esperanto","Esperanto","","Esperanto","Эсперанто"
"103","Greek","0:table:languages;field=name","Griechisch","Greek","Grieks","Griego","","Greek","Греческий"
"104","Danish","0:table:languages;field=name","Dänisch","Danish","Deens","Danés","","Danish","Датский"
"105","An unknown error occurred.","20:./templates2/ocstyle/error.tpl","Ein unbekannter Fehler ist aufgetreten.","An unknown error occurred.","Een onbekende fout is opgetreden.","An unknown error occurred.","","An unknown error occurred.",""
"106","Template does not exist.","22:./templates2/ocstyle/error.tpl","Das Template existiert nicht.","Template does not exist.","De Template bestaat niet.","La plantilla no existe.","","Template does not exist.",""
"107","Sorry, you are not allowed to view this page.","26:./templates2/ocstyle/error.tpl","Entschuldigung, aber diese Seite darfst du nicht sehen.","Sorry, you are not allowed to view this page.","Sorry, Je bent niet gemachtigd om deze pagina te bekijken.","Lo sentimos, pero no te está permitido ver esta página.","","Sorry, you are not allowed to view this page.",""
"108","Sorry, the requested cache does not exist.","28:./templates2/ocstyle/error.tpl","Entschuldigung, aber der angeforderte Cache existiert nicht.","Sorry, the requested cache does not exist.","Sorry, de gevraagde cache bestaat niet.","Lo sentimos, el caché solicitado no existe.","","Sorry, the requested cache does not exist.",""
"109","Sorry, the requested operation cannot be performed.","32:./templates2/ocstyle/error.tpl","Entschuldigung, aber der angeforderte Vorgang konnte nicht ausgeführt werden.","Sorry, the requested operation cannot be performed.","Sorry, de gevraagde handeling kan niet uitgevoerd worden.","Lo sentimos, la operación solicitada no pudo ser ejecutada.","","Sorry, the requested operation cannot be performed.",""
"110","Please log in to continue:","66:./lang/de/ocstyle/varset.inc.php","Melde dich an, um fortzufahren:","Please log in to continue:","Log in om verder te gaan:","Please log in to continue:","","Please log in to continue:",""
"111","Sorry, the requested user does not exist.","36:./templates2/ocstyle/error.tpl","Entschuldigung, aber der angeforderte Benutzer existiert nicht.","Sorry, the requested user does not exist.","Sorry, de gevraagde gebruiker bestaat niet.","Lo sentimos, el/la usuario/a solicitado/a no existe.","","Sorry, the requested user does not exist.",""
"112","Mail template does not exist.","46:./templates2/ocstyle/error.tpl","Das E-Mail Template existiert nicht.","Mail template does not exist.","E-mail adres bestaat niet.","La plantilla de correo no existe.","","Mail template does not exist.",""
"113","HTML Tags","174:./lang/de/ocstyle/lib/menu.php","Erlaubte HTML-Tags","HTML Tags","Toegestane HTML Tags","Etiquetas HTML","","HTML Tags",""
"114","Description","168:./lang/de/ocstyle/lib/menu.php","Beschreibung","Description","Beschrijving","Descripción","","Description","Описание"
"115","Hide a cache","160:./lang/de/ocstyle/lib/menu.php","Verstecken","Hide a cache","Verstop een cache","Hide a cache","Nowa skrzynka","Hide a cache","Создать тайник"
"116","Admin","220:./lang/de/ocstyle/lib/menu.php","Administrator","Admin","Admin","Administrador","","Admin","Admin"
"117","Information","","Informationen","Information","Informatie","Information","","Information",""
"118","Caches","57:./lang/de/ocstyle/lib/menu.php","Caches","Caches","Caches","Cachés","Caches","Caches","Тайники"
"119","My profile","49:./lang/de/ocstyle/lib/menu.php","Mein Profil","Mon profil","Mijn profiel","Mi Perfil","Moje konto","My profile","Профиль"
"120","Latest logs","0:table:sys_menu;field=menustring","Neueste Logs","Latest logs","Laatste logs","Latest logs","Najnowsze logi","Latest logs","Новые отчёты"
"122","New caches","0:table:sys_menu;field=menustring","Neueste Caches","New caches","Nieuwste caches","Nuevos cachés","Najnowsze skrzynki","New caches","Новые тайники"
"123","About geocaching","0:table:sys_menu;field=menustring","Über Geocaching","À propos du géocaching","Over Geocaching","About geocaching","Co to jest Geocaching?","About geocaching","Об игре"
"124","New item","0:table:sys_menu;field=menustring","Neuer Eintrag","Nouvel élément","Nieuw item","New item","","New item",""
"125","Search","65:./lang/de/ocstyle/lib/menu.php","Suchen","Chercher","Zoeken","Buscar","","Search","Выбор"
"126","Translation","0:table:sys_menu;field=menustring","Übersetzung","Traduction","Vertaling","Traducción","","Translation",""
"127","Activation","0:table:sys_menu;field=menustring","Aktivierung","Activation","Activatie","Activación","Aktywacja","Activation","Активация"
"128","Userprofile","0:table:sys_menu;field=menustring","Benutzerprofil","Profil de l'utilisateur","Gebruikersprofiel","Perfil del usuario/a","Dane użytkownika","Userprofile",""
"129","An error occurred while processing the page.","9:./templates2/ocstyle/error.tpl","Beim Aufruf der Seite ist ein Fehler aufgetreten.","Une erreur est survenue lors du traitement de la page.","Er is een fout opgetreden bij het laden van de pagina.","An error occurred while processing the page.","","An error occurred while processing the page.",""
"130","An error occurred while processing the page. If you have called this page by a hyperlink on our site and this error persists for some time, please contact us via e-mail. ","13:./templates2/ocstyle/error.tpl","Bei dem Versuch die Seite zu erstellen ist ein Fehler aufgetreten. Sollten Sie durch einen Link auf unserer Seite hierher gekommen sein und dieses Problem längere Zeit bestehen, weisen Sie uns bitte per E-Mail darauf hin. ","Une erreur est survenue lors du traitement de la page. Si vous avez appelé cette page d'un lien hypertexte sur notre site et cette erreur persiste un certain temps, s'il vous plaît nous contacter par e-mail. ","Er is een fout opgetreden bij het laden van de pagina. Indien deze pagina via een link bezocht is en de fout blijft zich voordoen gelieve ons een e-mail te sturen. ","An error occurred while processing the page. If you have called this page by a hyperlink on our site and this error persists for some time, please contact us via e-mail. ","","An error occurred while processing the page. If you have called this page by a hyperlink on our site and this error persists for some time, please contact us via e-mail. ",""
"131","The following error occurred:","24:./lang/de/ocstyle/error.tpl.php","Der folgende Fehler ist aufgetreten:","L'Erreur suivante est survenue :","De volgende fout is opgetreden:","The following error occurred:","","The following error occurred:",""
"133","Error message","27:./lang/de/ocstyle/error.tpl.php","Fehlermeldung","Indication d'erreur","Foutmelding","Mensaje de error","","Error message",""
"134","%2 found %1","156:./templates2/ocstyle/newlogs.tpl","%2 hat %1 gefunden","%2 a trouvé %1","%2 heeft %1 gevonden","%2 encontrados %1","%2 znaleziona przez %1","%2 found %1",""
"135","%2 didn't find %1","158:./templates2/ocstyle/newlogs.tpl","%2 hat %1 nicht gefunden","%2 ne pas trouvé %1","%2 heeft %1 niet gevonden","%2 no encontrados %1","%2 nie znaleziona przez %1","%2 didn't find %1",""
"136","%2 wrote a note for %1","160:./templates2/ocstyle/newlogs.tpl","%2 hat %1 kommentiert","%2 ont écrit une note de %1","%2 kreeg een opmerking van %1","%2 ha escrito una nota para %1","%2 komentarz %1","%2 wrote a note for %1",""
"137","%2 visited %1","162:./templates2/ocstyle/newlogs.tpl","%2 hat %1 besucht","%2 ont visité %1","%2 heeft %1 bezocht","%2 visitados %1","%2 uczestniczył %1","%2 visited %1",""
"138","%2 wants to visit %1","164:./templates2/ocstyle/newlogs.tpl","%2 möchte %1 besuchen","%2 veulent visiter %1","%2 wil %1 bezoeken","%2 wants to visit %1","%2 zamierza uczesticzyć %1","%2 wants to visit %1",""
"139","Registration confirmation","748:./lib2/logic/user.class.php","Registrierungsbestätigung","Confirmation de l'inscription","Registratie bevestiging","Confirmación de registro","","Registration confirmation",""
"140","welcome at %1!","6:./templates2/mail/register.tpl","Herzlich willkommen bei %1!","bienvenue à %1!","hartelijk welkom op %1!","¡Bienvenido a %1!","","welcome at %1!",""
"141","The following data has been stored for your account:","8:./templates2/mail/register.tpl","Folgende Daten wurden für dich eingetragen:","Les données suivantes ont été stockées pour votre compte :","De volgende gegevens zijn opgeslagen:","Los siguientes datos han sido almacenados para tu cuenta:","","The following data has been stored for your account:",""
"142","Slave","307:./templates2/ocstyle/sys_main.tpl","Slawisch","Esclave","Slavisch","Eslavo","","Slave",""
"144","If you don't login within the next 14 days, your account will be deleted.","27:./templates2/mail/register.tpl","Solltest du dich innerhalb der nächsten 14 Tage nicht einloggen, wird der Benutzeraccount wieder gelöscht.","Si vous ne vous connectez pas au cours des 14 prochains jours, votre compte sera supprimé.","Als je niet inlogt binnen de 14 dagen, zal jouw account worden verwijderd.","If you don't login within the next 14 days, your account will be deleted.","","If you don't login within the next 14 days, your account will be deleted.",""
"145","Czech","0:table:languages;field=name","Tschechisch","Tchèque","Tsjechisch","Checo","","Czech","Чешский"
"146","Bulgarian","0:table:languages;field=name","Bulgarisch","Bulgare","Bulgaars","Búlgaro","","Bulgarian","Болгарский"
"147","User profile of %1","12:./templates2/ocstyle/viewprofile.tpl","Benutzerprofil von %1","Profil de l'utilisateur %1","Gebruikersprofiel van %1","User profile of %1","Profil użytkownika %1","User profile of %1",""
"148","Send e-mail","17:./templates2/ocstyle/viewprofile.tpl","E-Mail senden","Envoyer un e-mail","E-mail versturen","Send e-mail","Wyślij E-mail","Send e-mail",""
"149","Others","318:./lang/de/ocstyle/editcache.tpl.php","Sonstiges","Divers","Overige","Otros","Inne","Others",""
"150","I'm taking a PMR walkie-talkie on channel 2 with me.","83:./templates2/ocstyle/viewprofile.tpl","Ich nehme ein PMR-Funkgerät auf Kanal 2 mit zum Geocaching.","Je prends une talkie-walkie PMR sur le canal 2 avec moi.","Ik neem een PMR zender mee op kanaal 2.","I'm taking a PMR walkie-talkie on channel 2 with me.","","I'm taking a PMR walkie-talkie on channel 2 with me.",""
"151","Registered&nbsp;since:","42:./templates2/ocstyle/viewprofile.tpl","Registriert&nbsp;seit:","Enregistré&nbsp;depuis&nbsp;:","Geregistreerd&nbsp;sinds:","Registrado&nbsp;desde:","Zarejstrowany&nbsp;od:","Registered&nbsp;since:","Дата&nbsp;регистрации:"
"152","Caches hidden:","10:./templates2/ocstyle/res_userstats.tpl","Versteckte Geocaches:","Caches cachés :","Gemaakte caches:","Caches hidden:","Ukryte skrzynki:","Caches hidden:",""
"153","Caches found:","36:./templates2/ocstyle/res_userstats.tpl","Gefundene Geocaches:","Caches trouvé&nbsp;:","Gevonden caches:","Cachés encontrados:","Znalezione skrzynki:","Caches found:",""
"154","%1 of %2 possible","109:./templates2/ocstyle/res_userstats.tpl","%1 von %2 möglichen","%1 de %2 possible","%1 van %2 mogelijk","%1 of %2 possible","%1 z możliwych %2","%1 of %2 possible",""
"155","Dutch","0:table:languages;field=name","Niederländisch","Néerlandais","Nederlands","Dutch","","Dutch",""
"156","Japanese","0:table:languages;field=name","Japanisch","Japonais","Japans","Japanese","","Japanese","Японский"
"157","Spanish","0:table:languages;field=name","Spanisch","Espagnol","Spaans","Spanish","","Spanish","Испанский"
"158","French","0:table:languages;field=name","Französisch","Français","Frans","French","","French","Французский"
"159","English","0:table:languages;field=name","Englisch","Anglais","Engels","English","","English","Английский"
"160","German","0:table:languages;field=name","Deutsch","Allemand","Duits","German","","German","Немецкий"
"161","Attention: If you are using this option, don't forget to log out before other persons have access to your computer. Otherwise, they may use and modify your personal data.","176:./templates2/ocstyle/myprofile.tpl","Vorsicht: Wenn du diese Option verwenden, vergiss niemals auf Logout zu klicken, wenn du dich von einem PC aus angemeldet hast der auch Fremden zugänglich ist. Ansonsten könnte ein Fremder deine persönlichen Account-Daten auslesen und ändern.","Attention : Si vous utilisez cette option, n'oubliez pas de vous déconnecter avant que d'autres personnes utilisent votre ordinateur. Sinon, ils peuront utiliser et modifier vos données personnelles.","Attentie: Indien je deze optie gebruikt, vergeet dan niet uit te loggen om te voorkomen dat anderen gegevens zouden kunnen veranderen van jouw account.","Attention: If you are using this option, don't forget to log out before other persons have access to your computer. Otherwise, they may use and modify your personal data.","","Attention: If you are using this option, don't forget to log out before other persons have access to your computer. Otherwise, they may use and modify your personal data.",""
"162","Zimbabwe","0:table:countries;field=name","Simbabwe","Zimbabwe","Zimbabwe","Zimbabwe","","Zimbabwe","Зимбабве"
"163","Zambia","0:table:countries;field=name","Sambia","Zambie","Zambia","Zambia","","Zambia","Замбия"
"164","South Africa","0:table:countries;field=name","Südafrika","Afrique Du Sud","Zuid Afrika","South Africa","","South Africa","ЮАР"
"165","Mayotte","0:table:countries;field=name","Mayotte","Mayotte","Mayotte","Mayotte","","Mayotte","Майотта"
